,Song,Artist,Rank
0,The Box,Roddy Ricch,1.0
405,Rockstar,DaBaby Featuring Roddy Ricch,1.0
261,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",1.0
378,Trollz,6ix9ine & Nicki Minaj,1.0
243,Blinding Lights,The Weeknd,1.0
207,Toosie Slide,Drake,1.0
486,Cardigan,Taylor Swift,1.0
504,Watermelon Sugar,Harry Styles,1.0
315,Savage,Megan Thee Stallion Featuring Beyonce,1.0
324,Rain On Me,Lady Gaga & Ariana Grande,1.0
270,Say So,Doja Cat Featuring Nicki Minaj,1.0
288,Stuck With U,Ariana Grande & Justin Bieber,1.0
522,WAP,Cardi B Featuring Megan Thee Stallion,1.0
567,Dynamite,BTS,1.0
91,Life Is Good,Future Featuring Drake,2.0
451,Come & Go,Juice WRLD x Marshmello,2.0
424,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2.0
127,Don't Start Now,Dua Lipa,2.0
550,Laugh Now Cry Later,Drake Featuring Lil Durk,2.0
92,Circles,Post Malone,3.0
11,Godzilla,Eminem Featuring Juice WRLD,3.0
380,The Bigger Picture,Lil Baby,3.0
641,Holy,Justin Bieber Featuring Chance The Rapper,3.0
470,Popstar,DJ Khaled Featuring Drake,3.0
299,Gooba,6ix9ine,3.0
30,Memories,Maroon 5,4.0
399,Roses,SAINt JHN,4.0
174,Heartless,The Weeknd,4.0
84,Dance Monkey,Tones And I,4.0
498,The 1,Taylor Swift,4.0
102,ON,BTS,4.0
409,Intentions,Justin Bieber Featuring Quavo,5.0
463,Wishing Well,Juice WRLD,5.0
121,Stupid Love,Lady Gaga,5.0
22,Someone You Loved,Lewis Capaldi,5.0
643,Mood,24kGoldn Featuring iann dior,5.0
5,"10,000 Hours",Dan + Shay & Justin Bieber,6.0
131,Baby Pluto,Lil Uzi Vert,6.0
491,Exile,Taylor Swift Featuring Bon Iver,6.0
230,Adore You,Harry Styles,6.0
545,7 Summers,Morgan Wallen,6.0
95,Roxanne,Arizona Zervas,6.0
518,My Future,Billie Eilish,6.0
446,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6.0
519,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,7.0
456,Conversations,Juice WRLD,7.0
285,Pain 1993,Drake Featuring Playboi Carti,7.0
475,Greece,DJ Khaled Featuring Drake,8.0
538,Smile,Juice WRLD & The Weeknd,8.0
448,Blueberry Faygo,Lil Mosey,8.0
142,Lo Mein,Lil Uzi Vert,8.0
188,Everything I Wanted,Billie Eilish,9.0
458,Life's A Mess,Juice WRLD X Halsey,9.0
512,Go Crazy,Chris Brown & Young Thug,9.0
134,Silly Watch,Lil Uzi Vert,9.0
620,Before You Go,Lewis Capaldi,9.0
